name
Aeolidia papillosa
Agarum clathratum
Alaria esculenta
Alcyonium digitatum
Ancula gibbosa
Anomia simplex
Aplidium glabrum
Aplysilla longispina
Artemesina sp.
Ascidiella aspersa
Asterias forbesi
Asterias rubens
Asterias spp.
Astrangia poculata
Balanus balanus
Bangiaceae
Boltenia echinata
Boltenia ovifera
Botrylloides violaceus
Botryllus schlosseri
Buccinum undatum
Bugula neritina
Bugula simplex 
Bugula turrita
Cadlina laevis
Cancer irroratus
Caprella spp.
Carcinus maenas
Ceramium virgatum
Chondrus crispus
Ciona intestinalis
Clathromorphum circumscriptum
Cliona celata
Codium fragile
Colpomenia peregrina
Corallina officinalis
Corambe obscura
Crepidula fornicata
Crepidula plana
Crossaster papposus
Cucumaria frondosa
Cuthona gymnota
Cyclopterus lumpus
Dendrodoa carnea
Dendronotus frondosus
Desmarestia aculeata
Desmarestia viridis
Diadumene lineata
Didemnum albidum
Didemnum vexillum
Diplosoma listerianum
Ectopleura crocea
Edwardsiella lineata
Electra pilosa
Eubranchus exiguus
Facelina bostoniensis
Flabellina verrucosa
Gellius arcoferus
Gersemia rubiformis
Halichondria panicea
Haliclona oculata
Haliclona spp.
Halisarca nahantensis
Halocynthia pyriformis
Hemigrapsus sanguineus
Henricia sanguinolenta
Heteranomia squamula
Hiatella arctica
Hippasteria phrygiana
Hippothoa hyalina
Homarus americanus
Hyas coarctatus
Hymedesmia paupertas
Idotea balthica
Iophon nigricans
Isodictya palmata
Jassa marmorata
Lacuna vincta
Laminaria digitata
Leptasterias polaris
Leptosia sp.
Leucosolenia botryoides
Libinia emarginata
Lithothamnion glaciale
Littorina littorea
Membranipora membranacea
Metridium senile
Clathria prolifera
Modiolus modiolus
Molgula citrina
Molgula manhattensis
Mycale spp.
Myoxocephalus spp.
Mytilus edulis
Myxicola infundibulum
Myxilla fimbriata
Notoacmea testudinalis
Nucella lapillus
Obelia spp.
Onchidoris bilamellata
Onchidoris muricata
Ostrea edulis
Pagurus spp.
Palio dubia
Peyssonnelia rosenvingei
Petalonia fascia
Pholis gunnelus
Phycodrys rubens
Phymatolithon rugulosum
Polymastia spp.
Polysiphonia stricta
Porania pulvillus
Pteraster militaris
Ptilota serrata
Punctaria latifolia
Saccharina latissima
Sagartia elegans
Schizoporella unicornis
Scrupocellaria scabra
Sycon ciliatum
Semibalanus balanoides
Solaster endeca
Spionidae
Spirorbis borealis
Strongylocentrotus droebachiensis
Styela canopus
Styela clava
Tautogolabrus adspersus
Tonicella marmorea
Tritonia plebeia
Tubularia crocea
Ulva lactuca
Ulvaria subbifurcata
