"gen_spp","species_id","n_obis_rec","BO_sstmean_NA","BO2_tempmean_bdmean_NA","BO_sstmean_mean","BO2_tempmean_bdmean_mean","BO_sstmean_min","BO2_tempmean_bdmean_min","BO_sstmean_max","BO2_tempmean_bdmean_max","BO_sstmean_median","BO2_tempmean_bdmean_median","BO_sstmean_sd","BO2_tempmean_bdmean_sd","BO_sstmean_mad","BO2_tempmean_bdmean_mad","BO_sstmean_q5","BO2_tempmean_bdmean_q5","BO_sstmean_q95","BO2_tempmean_bdmean_q95"
"Aeolidia papillosa",138709,637,61,61,11.3304235823517,10.9760108596852,-0.223000004887581,-1.33467400074005,30.443000793457,29.4951190948486,11.5629997253418,11.0900650024414,1.99759818612812,1.95260167449888,1.32989266376495,1.12005174751282,9.21300029754639,8.42356419563293,12.9820003509521,13.0609655380249
"Agarum clathratum",157207,1747,28,28,6.64162653584061,6.18980060974618,4.08199977874756,1.1221330165863,14.2200002670288,14.0680656433105,6.83900022506714,6.82915878295898,1.59254993231608,1.66064344481941,1.73612460565567,1.23734963979721,4.6230001449585,2.70125889778137,9.96249980926513,8.53689670562744
"Alaria esculenta",145716,3674,92,100,9.27167335703724,8.84204191713274,-0.312999993562698,-0.739673972129822,15.5299997329712,14.3226842880249,10.2684998512268,9.94841861724854,3.11972904642832,3.18989037264561,1.20313000745773,1.31352798213959,4.27899980545044,2.70125889778137,12.3894003391266,11.9149150848389
"Alcyonium digitatum",125333,38186,1797,1797,11.4089713322005,10.7933683548308,5.94199991226196,2.1012818813324,15.5600004196167,19.4017181396484,11.4479999542236,10.7870712280273,1.08250338445874,1.09052974790515,1.47667002983093,1.2583738866806,9.80700016021729,9.10334396362305,12.8290004730225,12.3522577285767
"Ancula gibbosa",140029,186,18,18,11.1548452462469,10.9571551964397,4.21600008010864,4.09309196472168,21.2709999084473,22.7652397155762,11.0090003013611,10.8778762817383,1.49904685347395,1.5144312394154,1.3002406920433,0.95844026556015,9.46215000152588,9.30278205871582,12.7038001537323,12.6419745922089
"Anomia simplex",156737,386,0,0,18.5882358279253,18.3283936662377,7.50400018692017,3.69944405555725,30.2280006408691,28.225658416748,25.0069999694824,24.6561851501465,8.77728747250284,8.83622475598029,2.35066336326599,2.74665076560974,7.68325006961823,6.52322316169739,26.8627500534058,26.618914604187
"Aplidium glabrum",103647,324,50,50,9.52152192635958,8.57537424216305,-0.187000006437302,-1.13324105739594,22.0839996337891,22.981409072876,10.4940004348755,9.03036117553711,2.64301487351564,3.20097660252746,1.83249227657318,3.42223753395081,5.95165014266968,3.41113737821579,12.4140501499176,12.3077068328857
"Ascidiella aspersa",103718,8351,927,927,11.1358135531432,11.0636022021866,3.5,1.733314037323,28.746000289917,22.0065383911133,10.8940000534058,10.7953939437866,1.61995807261015,1.19552151713831,1.3521314658165,0.852626211547852,8.89799976348877,9.70406818389893,12.9840002059937,12.7895712375641
"Asterias forbesi",158489,1226,25,25,12.7761689979369,12.9327515642609,5.23099994659424,3.01461911201477,27.6620006561279,26.4897212982178,11.53600025177,11.9268856048584,4.61679499346296,4.65591218072585,1.79246427097321,1.30387799491882,8.22200012207031,7.66632223129272,24.7150001525879,24.4555187225342
"Asterias rubens",123776,58661,4192,4192,11.0044891666002,10.6735374873097,1.32099997997284,0.0606100000441074,23.5590000152588,23.3814392089844,11.0319995880127,10.6889295578003,1.31775978588464,1.45622184167697,1.3654738986969,1.18308277759552,8.91899967193604,8.56210041046143,12.7295997619629,12.3520574569702
"Astrangia poculata",157967,975,4,4,15.7510781538597,15.8277838684381,10.9119997024536,4.22727823257446,28.2940006256104,27.7049102783203,11.6870002746582,12.6450080871582,6.00456111692929,5.50536016329207,0.376581384086609,1.06468839225769,11.4329996109009,11.5306949615479,26.3290004730225,25.3202037811279
"Boltenia echinata",103814,322,24,25,6.31123828094596,5.84570746692619,-0.340000003576279,-0.966576993465424,17.375,12.1618947982788,8.04500007629395,7.99811887741089,4.29061589162921,4.55467482993715,4.1483145907402,3.72760484018326,-0.0277499999850988,-0.572657787799835,10.9141496181488,10.7253322601318
"Boltenia ovifera",103815,493,12,12,6.58316834916297,5.86090331272514,-0.913999974727631,-1.57993900775909,15.9200000762939,14.409499168396,7.94799995422363,6.48417806625366,3.71424307731636,4.2637841955612,3.61754337787628,5.47679050912857,-0.0930000022053719,-0.7116379737854,10.6800003051758,11.4431800842285
"Botrylloides violaceus",148715,2200,231,231,10.9737622993376,10.8771577808928,4.8769998550415,1.75404000282288,29.5090007781982,28.6367301940918,10.3879995346069,10.9603471755981,3.37793750939078,3.26868895003088,2.81397586326599,2.43519159564972,7.31500005722046,6.90473318099976,16.923999786377,16.8698844909668
"Botryllus schlosseri",103862,13624,1491,1491,11.4568597049929,11.1676250216122,6.11899995803833,1.24908399581909,29.6459999084473,29.6877613067627,11.6599998474121,11.0900650024414,2.10222477871969,1.96917003580421,1.34175260410309,1.35871254501343,7.99519996643066,8.22655487060547,13.0469999313354,12.8891744613647
"Buccinum undatum",138878,22420,1022,1022,10.4187566173286,9.9115865650102,-0.610000014305115,-1.20244705677032,29.0590000152588,19.2227153778076,10.3210000991821,9.87120246887207,1.51213210986793,1.84562306791784,0.613795743942261,0.922725415420532,7.79559988975525,6.01284694671631,12.5649995803833,12.3520574569702
