"gen_spp","species_id","n_obis_rec","BO_sstmean_NA","BO21_tempmax_bdmean_NA","BO21_tempmax_ss_NA","BO21_tempmean_bdmean_NA","BO21_tempmean_bdmin_NA","BO21_tempmax_bdmin_NA","BO21_templtmax_bdmin_NA","BO_sstmean_mean","BO21_tempmax_bdmean_mean","BO21_tempmax_ss_mean","BO21_tempmean_bdmean_mean","BO21_tempmean_bdmin_mean","BO21_tempmax_bdmin_mean","BO21_templtmax_bdmin_mean","BO_sstmean_min","BO21_tempmax_bdmean_min","BO21_tempmax_ss_min","BO21_tempmean_bdmean_min","BO21_tempmean_bdmin_min","BO21_tempmax_bdmin_min","BO21_templtmax_bdmin_min","BO_sstmean_max","BO21_tempmax_bdmean_max","BO21_tempmax_ss_max","BO21_tempmean_bdmean_max","BO21_tempmean_bdmin_max","BO21_tempmax_bdmin_max","BO21_templtmax_bdmin_max","BO_sstmean_median","BO21_tempmax_bdmean_median","BO21_tempmax_ss_median","BO21_tempmean_bdmean_median","BO21_tempmean_bdmin_median","BO21_tempmax_bdmin_median","BO21_templtmax_bdmin_median","BO_sstmean_sd","BO21_tempmax_bdmean_sd","BO21_tempmax_ss_sd","BO21_tempmean_bdmean_sd","BO21_tempmean_bdmin_sd","BO21_tempmax_bdmin_sd","BO21_templtmax_bdmin_sd","BO_sstmean_mad","BO21_tempmax_bdmean_mad","BO21_tempmax_ss_mad","BO21_tempmean_bdmean_mad","BO21_tempmean_bdmin_mad","BO21_tempmax_bdmin_mad","BO21_templtmax_bdmin_mad","BO_sstmean_q5","BO21_tempmax_bdmean_q5","BO21_tempmax_ss_q5","BO21_tempmean_bdmean_q5","BO21_tempmean_bdmin_q5","BO21_tempmax_bdmin_q5","BO21_templtmax_bdmin_q5","BO_sstmean_q95","BO21_tempmax_bdmean_q95","BO21_tempmax_ss_q95","BO21_tempmean_bdmean_q95","BO21_tempmean_bdmin_q95","BO21_tempmax_bdmin_q95","BO21_templtmax_bdmin_q95","scientificName","hasSebensData"
"Alcyonium digitatum",125333,46166,1840,1840,1840,1840,1840,1840,1840,11.3707336072096,15.3395126763381,16.3748998073756,10.7115949974891,11.221577042498,16.4849946053349,15.4766035999723,5.94199991226196,2.11402797698975,12.8599939346313,2.1012818813324,2.2143919467926,2.22830104827881,2.21791005134583,15.5600004196167,24.2940578460693,25.9313068389893,19.4017181396484,19.5346450805664,24.4132137298584,23.0474452972412,11.3979997634888,15.1464471817017,16.2072467803955,10.6377582550049,10.9653797149658,16.462926864624,15.4184970855713,1.06826761234213,1.88572161804422,1.69216967314891,1.06262071456465,1.10532205299144,1.93978706619662,1.74539003321863,1.50187452392578,1.94215854892731,1.96934676933289,1.18793392868042,1.2634837846756,2.29325689716339,2.01752742347717,9.84000015258789,12.3421993255615,13.8293504714966,9.28845691680908,9.837965965271,13.4728403091431,12.7046594619751,12.8090000152588,18.7468719482422,19.6162872314453,12.3270225524902,12.9322862625122,20.2531585693359,18.3930988311768,"Alcyonium digitatum",FALSE
"Anomia simplex",156737,385,2,2,2,2,2,2,2,18.494141065732,24.7416220657508,25.6824104717444,18.3243565366411,18.607173095484,25.3876368818955,24.2792436933393,7.50400018692017,10.303318977356,15.1399936676025,3.69944405555725,6.12572193145752,10.4252033233643,8.71135997772217,27.6660003662109,31.0902976989746,31.2081298828125,27.1684875488281,27.1748199462891,31.0817737579346,30.5458240509033,24.992000579834,29.330249786377,29.4522037506104,24.6561851501465,24.724588394165,29.4475116729736,28.5938243865967,8.75650519662676,6.93447231133699,5.7232896230692,8.83051181598652,8.63082191739131,6.24992905423395,6.7141464974021,2.3425078868866,2.45057643241882,2.3274129032135,2.68482297935486,2.58582330093384,2.28714170379639,2.71764283332825,7.68250012397766,10.7126541137695,15.4988089561462,6.51199836730957,7.21737880706787,13.4019678115845,11.9522686004639,26.6828004837036,31.0163036346436,31.0641313552856,26.5772317886353,26.5606098175049,31.0237941741943,30.4434509277344,"Anomia simplex",FALSE
"Aplidium glabrum",103647,345,50,50,50,50,50,50,50,9.47678985484418,14.1873950459189,16.823823273384,8.55777667619414,9.07663488852776,16.2432984356153,14.8436202408904,-0.469999998807907,0.214067995548248,3.16254997253418,-1.13324105739594,-0.983319997787476,1.97085297107697,0.770846009254456,22.0839996337891,28.8794212341309,28.9198455810547,22.981409072876,23.1778259277344,29.050708770752,28.0682258605957,10.3590002059937,14.2996864318848,17.3493728637695,9.03036117553711,9.63919162750244,17.0499610900879,15.7971038818359,2.69200071314235,3.64617744857982,3.47430139317961,3.22967179582424,3.13509709515431,3.83366548782934,3.92138438578944,2.24762129459381,1.37762934780121,2.787812733078,3.55030028743744,3.69425406017303,1.91012624702454,1.74459609260559,5.8885000705719,5.0855194568634,12.1384006500244,3.3018620967865,3.46629993915558,5.73574199676514,4.6251796245575,12.4944999694824,19.1353363037109,21.4871349334717,12.5753877639771,12.8970170974731,20.7545707702637,19.289803314209,"Aplidium glabrum",FALSE
"Balanus balanus",106213,5302,461,461,461,461,461,461,461,9.83641601229896,14.2905478423488,15.051445937137,9.47736222305894,9.8322780232068,15.153191344255,14.021719364933,-0.676999986171722,-0.939280986785889,0.665058016777039,-1.57054901123047,-1.5667120218277,-0.870462000370026,-1.21068298816681,25.7280006408691,23.7331409454346,27.9471988677979,16.139778137207,20.402229309082,26.6752090454102,25.487491607666,10.5579996109009,14.7856941223145,14.9099931716919,10.3212947845459,10.6379518508911,15.3046369552612,14.4269418716431,2.59631966367227,3.35562423214739,2.550011628626,2.76911886851112,2.8184697364885,3.31431449878997,3.40236747244756,1.24538281230927,1.34370381031036,1.86722940273285,1.0173490190506,0.98458572177887,1.28306795654297,1.83963821582794,4.68900012969971,6.49046421051025,12.338059425354,2.62121391296387,2.62996101379395,6.49016904830933,5.40068912506104,12.2320003509521,19.3691291809082,19.4799938201904,11.9149150848389,12.3697700500488,20.285099029541,18.5899486541748,"Balanus balanus",FALSE
"Boltenia echinata",103814,392,20,21,21,21,21,21,21,5.9656908771584,10.6205022489286,13.3134421216188,5.16748516807318,5.55352242267879,11.6962090573221,10.1743513650971,-0.187000006437302,1.08502304553986,3.16254997253418,-1.20329797267914,-1.20329797267914,2.4087541103363,0.914772987365723,18.1100006103516,23.2186603546143,26.4419460296631,16.7835121154785,18.4518756866455,27.7603569030762,26.5566139221191,7.24550008773804,11.0433931350708,13.8599939346313,5.72388410568237,6.30388689041138,13.414662361145,11.3993673324585,4.19747674803382,4.69756094188322,3.66448409467402,4.56869999186268,4.7619506414931,4.8864787371421,5.06444006988128,5.3959229092598,5.41105253391266,3.17741205596924,6.81507477350235,6.63054722299576,5.50070056171417,5.47407225265503,0.367550006508827,2.88638854026794,7.88676881790161,-0.584603011608124,-0.510667026042938,3.79646396636963,2.6798495054245,10.9144497394562,16.1140298843384,19.5359048843384,10.7056970596313,11.028892993927,18.7905969619751,17.0219802856445,"Boltenia echinata",FALSE
"Boltenia ovifera",103815,1372,12,12,12,12,12,12,12,5.53016688060632,9.91339118331945,15.8717939085601,4.06606430499678,4.55970205072834,11.8612591817722,10.090730378481,-0.913999974727631,-0.94003701210022,-0.635218977928162,-1.57993900775909,-1.57537305355072,-0.870462000370026,-1.21068298816681,15.9200000762939,21.4964771270752,25.4718055725098,14.409499168396,14.1935949325562,21.4964771270752,20.0847606658936,4.8769998550415,8.31758689880371,15.6680717468262,3.31576752662659,3.97178196907043,10.8578128814697,8.9860143661499,2.55605334312181,4.97306506676183,3.64323790769404,3.20661997014214,3.14260320867767,4.97100079531238,4.86649702616952,1.28170741438866,4.66327820549011,2.49204804782867,2.69603914536238,2.72644482350349,6.67394954280853,6.32131921491623,1.10104999542236,3.96982110738754,9.34344100952148,-0.242091450840235,0.0453240014612675,4.88905882835388,3.29760376214981,10.3879995346069,20.0253019332886,20.5947246551514,10.9603471755981,10.9603471755981,20.2924003601074,18.6002807617188,"Boltenia ovifera",FALSE
"Boreolithothamnion glaciale",1736213,2794,122,122,122,122,122,122,122,8.57310851828424,14.2443218570716,16.413499351747,7.94760927466765,8.47789472846655,15.6205664806425,14.3167041839731,1.17400002479553,0.297271013259888,7.68052101135254,-0.0197999998927116,0.0382010005414486,0.781536996364594,0.434174001216888,27.0160007476807,27.841423034668,29.9360828399658,24.610559463501,24.6533966064453,27.9698638916016,27.3420753479004,9.13500022888184,14.8762130737305,15.4254965782166,9.61644268035889,9.96040534973145,15.3628783226013,14.3007946014404,2.54062988464423,3.90103385045369,2.81915350020205,3.17881730290485,2.85471670102709,3.24385053723742,3.18607040155494,2.49818020820618,1.55723363742828,2.12303889913559,2.16375053386688,1.79154663848877,1.26172133646011,1.60555568332672,4.46299982070923,6.0853328704834,13.4552230834961,2.11420106887817,2.94507318735123,9.33294486999512,7.63897180557251,11.1669998168945,19.8158912658691,20.4573059082031,11.0354719161987,11.1285705566406,20.213436126709,18.3857727050781,"Lithothamnion glaciale",FALSE
"Botrylloides violaceus",148715,3030,271,271,271,271,271,271,271,13.4620985523347,19.4290158036568,19.9810965030943,13.255491513636,13.4584187275692,19.9433661773612,18.5528696634148,4.8769998550415,0.936272025108337,12.1309499740601,0.418610006570816,1.21602702140808,1.22514402866364,1.21998000144958,29.6909999847412,31.21413230896,31.0088653564453,29.0889110565186,29.1079902648926,31.1607685089111,30.7992267608643,11.6319999694824,18.9526748657227,19.8590145111084,11.5813913345337,11.6597557067871,19.6471767425537,18.0141124725342,5.56868794167348,4.57563975697521,4.25899316230033,5.40980810708625,5.34544399173115,4.42164540449979,4.42697830828086,4.633125,4.9736868347168,4.07338049583435,4.19085159301758,4.22569759082794,5.51981389904022,5.04727982883453,7.48099994659424,14.4321365356445,14.6443586349487,7.28605604171753,7.45280694961548,14.7357482910156,13.3507461547852,26.1439990997314,29.0220985412598,29.2961139678955,25.6680583953857,25.5748405456543,29.4069042205811,28.7730903625488,"Botrylloides violaceus",FALSE
"Botryllus schlosseri",103862,14361,1581,1581,1581,1581,1581,1581,1581,11.5323000593365,16.3075693358465,16.7871380110488,11.2409993043714,11.6455838476548,17.1680721676872,16.1081827030589,6.53900003433228,1.19101202487946,12.3372631072998,1.18545496463776,1.21602702140808,1.22514402866364,1.21998000144958,29.6459999084473,32.2535057067871,31.2081298828125,29.6877613067627,29.3147373199463,31.5141220092773,30.8053741455078,11.6829996109009,15.8570127487183,16.5800704956055,11.146372795105,11.7218160629272,16.9380798339844,16.0879821777344,2.14863399511942,2.58404956334673,2.66438815935894,1.98706663193794,2.04759575596625,2.44975603714232,2.35987981837144,1.31061955375671,2.02370765705109,2.00053496246338,1.42125860137939,1.41465136470795,1.8102810459137,1.59908418273926,8.15200042724609,12.994176864624,13.5911358833313,8.49294185638428,8.61016178131104,14.5372896194458,13.2178621292114,14.1269998550415,20.7187731742859,21.2280712127686,12.9099426269531,13.080246925354,21.0545139312744,19.6475609779357,"Botryllus schlosseri",FALSE
"Bugula simplex",834016,104,17,17,17,17,17,17,17,12.5753447214762,17.833298519425,19.4170547573046,11.5912673019472,12.6486348941408,19.607382873009,18.3098619943378,8.03400039672852,0.406078994274139,13.476634979248,0.117871001362801,6.35232496261597,10.5693216323853,8.8880672454834,25.0069999694824,27.2009220123291,30.4974384307861,22.9148654937744,22.9187965393066,27.205961227417,25.7583465576172,12.2659997940063,18.3160343170166,19.3929347991943,12.1192502975464,12.1448240280151,20.0155048370361,18.5429344177246,3.31496552469059,4.66021773362205,3.99852904401023,3.32389445189494,2.95806238332594,3.48102755915128,3.40662393193731,1.02151159229279,3.02565345840454,3.15401737632751,1.07473003463745,1.1773620672226,2.79338074035645,2.49326825866699,9.1319001197815,11.4602705955505,13.476634979248,6.8541615486145,9.85763692855835,14.4940757751465,13.1623935699463,20.2859992980957,22.9827131271362,27.109992980957,16.139778137207,20.402229309082,26.6752090454102,25.487491607666,"Bugulina simplex",FALSE
