coefficients_species,co_occuring_species,gen_spp,,
alcyonium_sub,Alcyonium digitatum,Alcyonium siderium,,
anomia_spp,Anomia simplex,Anomia simplex,,
aplidium_glabrum,Aplidium glabrum,Aplidium glabrum,,
balanus_balanus,Balanus balanus,Balanus balanus,,
bare_space_rock,,,,
boltenia_echinata,Boltenia echinata,Boltenia echinata,,
boltenia_ovifera,Boltenia ovifera,Boltenia ovifera,,
botrylloides_sp,Botrylloides violaceus,Botrylloides violaceus,,
botryllus_schlosseri,Botryllus schlosseri,Botryllus schlosseri,,
brown_algae_sub,,,,Clathria (Clathria) prolifera
clathromorphum_sp,Clathromorphum circumscriptum,Clathromorphum circumscriptum,,
cliona_spp,Cliona celata,Cliona celata,,
dendrodoa_carnea,Dendrodoa carnea,Dendrodoa carnea,,
didemnum_albidum,Didemnum albidum,Didemnum albidum,,
diplosoma_listerianum,Diplosoma listerianum,Didemnum vexillum,,
edwardsiella_lineata,Edwardsiella lineata,Diplosoma listerianum,,
encrusting_bryozoan,,,,Edwardsiella lineata
erect_bryozoan_sub,,,,Gersemia rubiformis
green_algae_sub,,,,
halichondria_panicea,Halichondria (Halichondria) panicea,Halichondria (Halichondria) panicea,,
haliclona_oculata,Haliclona (Haliclona) oculata,Haliclona (Haliclona) oculata,,
halisarca_nahantensis,,,,
halocynthia_pyriformis,Halocynthia pyriformis,Halocynthia pyriformis,,
hyd_bry_complex,,,,
hydroid_sub,,,,
hymedesmia_sp,Hymedesmia (Hymedesmia) paupertas,Hymedesmia (Hymedesmia) paupertas,,
isodictya_spp,Isodictya palmata,Isodictya palmata,,
leucosolenia_spp,Leucosolenia botryoides,Leucosolenia botryoides,,
lithothamnion_spp,Lithothamnion glaciale,Lithothamnion glaciale,,
metridium_sub,Metridium senile,Metridium senile,,
modiolus_modiolus,Modiolus modiolus,Modiolus modiolus,,
molgula_citrina,Molgula citrina,Molgula citrina,,
mytilus_edulis,Mytilus edulis,Mytilus edulis,,Molgula manhattensis
orange_sponge_crust,,,,
peysonnelia,Peyssonnelia rosenvingei,Peyssonnelia rosenvingei,,
phymatolithon_sp,,,,
red_algae_sub,,,,
scypha_sp,,Sycon ciliatum,,
spirorbis_spp,Spirorbis (Spirorbis) spirorbis,Spirorbis (Spirorbis) spirorbis,,
styela_sp,Styela clava,Styela clava,,
tube_complex,,,,
tubularia_sub,,Ectopleura crocea,,
