scientificName,species,area,depth_m,num_obs
Alcyonium digitatum,alcyonium_sub,Dive Beach,7,133
Alcyonium digitatum,alcyonium_sub,Halfway Rock Inner,7,33
Alcyonium digitatum,alcyonium_sub,Halfway Rock Inner,16,81
Alcyonium digitatum,alcyonium_sub,Halfway Rock Outer,9,35
Alcyonium digitatum,alcyonium_sub,Halfway Rock Outer,10,27
Alcyonium digitatum,alcyonium_sub,Halfway Rock Outer,12,22
Alcyonium digitatum,alcyonium_sub,Halfway Rock Outer,15,28
Alcyonium digitatum,alcyonium_sub,Shag Rocks Inner,8,80
Alcyonium digitatum,alcyonium_sub,Shag Rocks Outer,8,45
Alcyonium digitatum,alcyonium_sub,Shag Rocks Outer,9,36
Alcyonium digitatum,anomia_spp,Dive Beach,7,133
Alcyonium digitatum,anomia_spp,Halfway Rock Inner,7,33
Alcyonium digitatum,anomia_spp,Halfway Rock Inner,16,81
Alcyonium digitatum,anomia_spp,Halfway Rock Outer,9,35
Alcyonium digitatum,anomia_spp,Halfway Rock Outer,10,27
Alcyonium digitatum,anomia_spp,Halfway Rock Outer,12,22
Alcyonium digitatum,anomia_spp,Halfway Rock Outer,15,28
Alcyonium digitatum,anomia_spp,Shag Rocks Inner,8,80
Alcyonium digitatum,anomia_spp,Shag Rocks Outer,8,45
Alcyonium digitatum,anomia_spp,Shag Rocks Outer,9,36
Aplidium glabrum,aplidium_glabrum,Dive Beach,7,133
Aplidium glabrum,aplidium_glabrum,Halfway Rock Inner,7,33
Aplidium glabrum,aplidium_glabrum,Halfway Rock Inner,16,81
Aplidium glabrum,aplidium_glabrum,Halfway Rock Outer,9,35
Aplidium glabrum,aplidium_glabrum,Halfway Rock Outer,10,27
Aplidium glabrum,aplidium_glabrum,Halfway Rock Outer,12,22
Aplidium glabrum,aplidium_glabrum,Halfway Rock Outer,15,28
Aplidium glabrum,aplidium_glabrum,Shag Rocks Inner,8,80
Aplidium glabrum,aplidium_glabrum,Shag Rocks Outer,8,45
Aplidium glabrum,aplidium_glabrum,Shag Rocks Outer,9,36
Balanus balanus,balanus_balanus,Dive Beach,7,133
Balanus balanus,balanus_balanus,Halfway Rock Inner,7,33
Balanus balanus,balanus_balanus,Halfway Rock Inner,16,81
Balanus balanus,balanus_balanus,Halfway Rock Outer,9,35
Balanus balanus,balanus_balanus,Halfway Rock Outer,10,27
Balanus balanus,balanus_balanus,Halfway Rock Outer,12,22
Balanus balanus,balanus_balanus,Halfway Rock Outer,15,28
Balanus balanus,balanus_balanus,Shag Rocks Inner,8,80
Balanus balanus,balanus_balanus,Shag Rocks Outer,8,45
Balanus balanus,balanus_balanus,Shag Rocks Outer,9,36
