species,area,depth_m,num_obs
alcyonium_sub,Dive Beach,7,133
alcyonium_sub,Halfway Rock Inner,7,33
alcyonium_sub,Halfway Rock Inner,16,81
alcyonium_sub,Halfway Rock Outer,9,35
alcyonium_sub,Halfway Rock Outer,10,27
alcyonium_sub,Halfway Rock Outer,12,22
alcyonium_sub,Halfway Rock Outer,15,28
alcyonium_sub,Shag Rocks Inner,8,80
alcyonium_sub,Shag Rocks Outer,8,45
alcyonium_sub,Shag Rocks Outer,9,36
anomia_spp,Dive Beach,7,133
anomia_spp,Halfway Rock Inner,7,33
anomia_spp,Halfway Rock Inner,16,81
anomia_spp,Halfway Rock Outer,9,35
anomia_spp,Halfway Rock Outer,10,27
anomia_spp,Halfway Rock Outer,12,22
anomia_spp,Halfway Rock Outer,15,28
anomia_spp,Shag Rocks Inner,8,80
anomia_spp,Shag Rocks Outer,8,45
anomia_spp,Shag Rocks Outer,9,36
aplidium_glabrum,Dive Beach,7,133
aplidium_glabrum,Halfway Rock Inner,7,33
aplidium_glabrum,Halfway Rock Inner,16,81
aplidium_glabrum,Halfway Rock Outer,9,35
aplidium_glabrum,Halfway Rock Outer,10,27
aplidium_glabrum,Halfway Rock Outer,12,22
aplidium_glabrum,Halfway Rock Outer,15,28
aplidium_glabrum,Shag Rocks Inner,8,80
aplidium_glabrum,Shag Rocks Outer,8,45
aplidium_glabrum,Shag Rocks Outer,9,36
balanus_balanus,Dive Beach,7,133
balanus_balanus,Halfway Rock Inner,7,33
balanus_balanus,Halfway Rock Inner,16,81
balanus_balanus,Halfway Rock Outer,9,35
balanus_balanus,Halfway Rock Outer,10,27
balanus_balanus,Halfway Rock Outer,12,22
balanus_balanus,Halfway Rock Outer,15,28
balanus_balanus,Shag Rocks Inner,8,80
balanus_balanus,Shag Rocks Outer,8,45
balanus_balanus,Shag Rocks Outer,9,36
bare_space_rock,Dive Beach,7,133
bare_space_rock,Halfway Rock Inner,7,33
bare_space_rock,Halfway Rock Inner,16,81
bare_space_rock,Halfway Rock Outer,9,35
bare_space_rock,Halfway Rock Outer,10,27
bare_space_rock,Halfway Rock Outer,12,22
bare_space_rock,Halfway Rock Outer,15,28
bare_space_rock,Shag Rocks Inner,8,80
bare_space_rock,Shag Rocks Outer,8,45
bare_space_rock,Shag Rocks Outer,9,36
boltenia_echinata,Dive Beach,7,133
boltenia_echinata,Halfway Rock Inner,7,33
boltenia_echinata,Halfway Rock Inner,16,81
boltenia_echinata,Halfway Rock Outer,9,35
boltenia_echinata,Halfway Rock Outer,10,27
boltenia_echinata,Halfway Rock Outer,12,22
boltenia_echinata,Halfway Rock Outer,15,28
boltenia_echinata,Shag Rocks Inner,8,80
boltenia_echinata,Shag Rocks Outer,8,45
boltenia_echinata,Shag Rocks Outer,9,36
boltenia_ovifera,Dive Beach,7,133
boltenia_ovifera,Halfway Rock Inner,7,33
boltenia_ovifera,Halfway Rock Inner,16,81
boltenia_ovifera,Halfway Rock Outer,9,35
boltenia_ovifera,Halfway Rock Outer,10,27
boltenia_ovifera,Halfway Rock Outer,12,22
boltenia_ovifera,Halfway Rock Outer,15,28
boltenia_ovifera,Shag Rocks Inner,8,80
boltenia_ovifera,Shag Rocks Outer,8,45
boltenia_ovifera,Shag Rocks Outer,9,36
botrylloides_sp,Dive Beach,7,133
botrylloides_sp,Halfway Rock Inner,7,33
botrylloides_sp,Halfway Rock Inner,16,81
botrylloides_sp,Halfway Rock Outer,9,35
botrylloides_sp,Halfway Rock Outer,10,27
botrylloides_sp,Halfway Rock Outer,12,22
botrylloides_sp,Halfway Rock Outer,15,28
botrylloides_sp,Shag Rocks Inner,8,80
botrylloides_sp,Shag Rocks Outer,8,45
botrylloides_sp,Shag Rocks Outer,9,36
botryllus_schlosseri,Dive Beach,7,133
botryllus_schlosseri,Halfway Rock Inner,7,33
botryllus_schlosseri,Halfway Rock Inner,16,81
botryllus_schlosseri,Halfway Rock Outer,9,35
botryllus_schlosseri,Halfway Rock Outer,10,27
botryllus_schlosseri,Halfway Rock Outer,12,22
botryllus_schlosseri,Halfway Rock Outer,15,28
botryllus_schlosseri,Shag Rocks Inner,8,80
botryllus_schlosseri,Shag Rocks Outer,8,45
botryllus_schlosseri,Shag Rocks Outer,9,36
brown_algae_sub,Dive Beach,7,133
brown_algae_sub,Halfway Rock Inner,7,33
brown_algae_sub,Halfway Rock Inner,16,81
brown_algae_sub,Halfway Rock Outer,9,35
brown_algae_sub,Halfway Rock Outer,10,27
brown_algae_sub,Halfway Rock Outer,12,22
brown_algae_sub,Halfway Rock Outer,15,28
brown_algae_sub,Shag Rocks Inner,8,80
brown_algae_sub,Shag Rocks Outer,8,45
brown_algae_sub,Shag Rocks Outer,9,36
clathromorphum_sp,Dive Beach,7,133
clathromorphum_sp,Halfway Rock Inner,7,33
